ID,Suburb,WaterView,FloodingZone,LogDistance,LogLand,LogFloor,LogValue2022,,,Leg.Desc,Full Address,Lat,Long,Distance to Coast,Land Area,Floor Area,Value 2022,,,,,
32,North New Brighton,0,0,7.097433046,6.705639095,4.905274778,13.1308518,,,Lot 1 DP 13791,100 ASCOT AV,-43.491522,172.7110956,1208.86,817,135,"$504,262.28",,,,,
33,New Brighton,1,0,5.262482914,6.723832441,5.703782475,13.44674171,,,Lot 1 DP 13817,17 HOOD ST,-43.5098727,172.7307426,192.96,832,300,"$691,585.25",,,,,
34,New Brighton,0,0,7.230164812,6.555356892,4.605170186,13.52562462,,,Lot 1 DP 13917,180 BOWER AV,-43.4971118,172.7108456,1380.45,703,100,"$748,348.92",,,,,
35,New Brighton,0,0,7.059952624,6.774223886,4.727387819,13.57510293,,,Lot 1 DP 14064,141 BAKER ST,-43.5039486,172.7159371,1164.39,875,113,"$786,307.28",,,,,
36,New Brighton,0,0,4.644294741,6.340359304,4.094344562,13.14590247,,,Lot 1 DP 14211,264 MARINE PD,-43.5120646,172.7326446,103.99,567,60,"$511,909.16",,,,,
37,New Brighton,0,0,5.141254116,6.246106765,4.875197323,13.70279937,,,Lot 1 DP 14386,14 RAWHITI AV,-43.5003419,172.7271777,170.93,516,131,"$893,408.65",,,,,
38,New Brighton,0,0,6.000325176,6.670766321,4.86753445,13.64402228,,,Lot 1 DP 14470,56 UNION ST,-43.5104857,172.7282226,403.56,789,130,"$842,410.14",,,,,
39,North New Brighton,0,0,7.132761095,6.695798917,4.624972813,12.95588764,,,Lot 1 DP 14939,84 ASCOT AV,-43.4907842,172.7102897,1252.33,809,102,"$423,321.68",,,,,
40,New Brighton,0,1,5.876137867,6.226536669,4.158883083,13.03932946,,,Lot 1 DP 15506,45 RODNEY ST,-43.5140172,172.7301068,356.43,506,64,"$460,159.97",,,,,
41,New Brighton,0,0,6.103810607,6.424869024,4.700480366,12.99453001,,,Lot 1 DP 15556,162 SHAW AV,-43.5056997,172.7256219,447.56,617,110,"$440,000.00",,,,,
42,New Brighton,0,0,6.828896037,6.408528791,4.65396035,13.47839663,,,Lot 1 DP 15738,175 KEYES RD,-43.4984585,172.7173335,924.17,607,105,"$713,827.51",,,,,
43,Southshore,0,1,4.39592954,6.464588304,4.941642423,13.46819915,,,Lot 1 DP 15855,2 ROCKING HORSE RD,-43.5387485,172.7418442,81.12,642,140,"$706,585.26",,,,,
44,New Brighton,0,0,6.292180064,6.302618976,4.521788577,13.57189138,,,Lot 1 DP 15860,5 BLAKE ST,-43.521963,172.7314981,540.33,546,92,"$783,786.06",,,,,
45,New Brighton,0,0,7.45872811,6.705639095,4.700480366,13.4863448,,,Lot 1 DP 16004,168 TRAVIS RD,-43.4938677,172.7054277,1734.94,817,110,"$719,523.74",,,,,
46,New Brighton,0,0,7.204126987,6.298949247,4.276666119,13.27149973,,,Lot 1 DP 16105,185 PALMERS RD,-43.504229,172.7136762,1344.97,544,72,"$580,415.63",,,,,
47,New Brighton,0,0,5.341041551,6.226536669,4.521788577,13.46125237,,,Lot 1 DP 16156,6 BELLAMY AV,-43.5204188,172.7345984,208.73,506,92,"$701,693.78",,,,,
48,Southshore,0,1,4.968353902,6.472346295,4.564348191,13.48604474,,,Lot 1 DP 16242,12 PLOVER ST,-43.5488582,172.7475649,143.79,647,96,"$719,307.87",,,,,
49,New Brighton,0,0,7.381109539,6.472346295,4.624972813,13.32530422,,,Lot 1 DP 16294,270 TRAVIS RD,-43.4944624,172.7070507,1605.37,647,102,"$612,500.00",,,,,
50,South New Brighton,0,0,5.075173815,6.37502482,5.135798437,13.73978557,,,Lot 1 DP 16343,435 MARINE PD,-43.5276636,172.7381961,160,587,170,"$927,071.12",,,,,
51,New Brighton,0,0,4.567987395,6.883462586,6.198478716,13.31404847,,,Lot 1 DP 16357,167 MARINE PD,-43.5021289,172.7288295,96.35,976,492,"$605,644.51",,,,,
52,Southshore,1,0,4.607467545,6.408528791,5.455321115,13.83658731,,,Lot 1 DP 16516,27 ROCKING HORSE RD,-43.5398181,172.7430919,100.23,607,234,"$1,021,300.44",,,,,
53,South New Brighton,0,0,5.716567069,6.51174533,4.615120517,13.3756331,,,Lot 1 DP 16575,112 PINE AV,-43.5233501,172.7343467,303.86,673,101,"$644,115.35",,,,,
54,South New Brighton,0,0,5.451553342,6.939253946,5.043425117,13.57589236,,,Lot 1 DP 16592,331 PINE AV,-43.5329241,172.7395253,233.12,1032,155,"$786,928.25",,,,,
55,Southshore,0,1,4.778955412,6.413458957,4.9698133,13.4296319,,,Lot 1 DP 16595,1 ROCKING HORSE RD,-43.538621,172.7421651,118.98,610,144,"$679,853.01",,,,,
56,New Brighton,0,0,7.08599351,6.632001777,5.375278408,13.23863656,,,Lot 1 DP 16881,69 PALMERS RD,-43.4990139,172.7139374,1195.11,759,216,"$561,651.35",,,,,
57,New Brighton,0,0,6.828917678,6.492239835,4.736198448,13.48730927,,,Lot 1 DP 16939,171 KEYES RD,-43.4983025,172.7172095,924.19,660,114,"$720,218.03",,,,,
58,North New Brighton,0,0,7.020825002,6.989335266,4.94875989,12.89411366,,,Lot 1 DP 16950,23 MARRIOTTS RD,-43.4926438,172.7125112,1119.71,1085,141,"$397,962.74",,,,,
